property_id,area_m2,bedrooms,bathrooms,floor,total_floors,build_year,neighborhood,property_type,condition,renovated,has_elevator,has_parking,has_balcony,energy_rating,school_rating,crime_rate,distance_to_center_km,monthly_income_area,listing_month,days_on_market,price_usd
HP101366,67.4,0,1.0,20,22,2005,Suburb,apartment,good,no,yes,no,yes,C,7.3,2.4,12.1,,Oct,59,422039
HP101498,97.9,3,2.6,4,15,1988,Old Town,house,good,no,no,no,no,B,7.0,2.5,4.3,2839.0,Sep,43,574630
HP101012,65.5,2,2.4,19,24,1974,Business Bay,house,new,no,yes,yes,no,D,7.8,1.5,4.8,4030.0,Feb,41,681607
HP100360,55.9,0,1.0,15,21,1979,Market,apartment,fair,no,yes,yes,no,B,6.0,3.3,7.5,2428.0,Apr,63,374257
HP100500,151.9,4,4.0,1,2,2015,Riverside,studio,fair,no,no,no,no,C,7.0,3.6,8.5,3846.0,Aug,49,658410
HP100529,80.9,3,3.3,22,33,1972,Old Town,house,new,no,yes,yes,no,A,5.7,5.5,2.4,1409.0,Dec,84,537774
HP101016,169.3,4,2.4,8,22,2005,Riverside,apartment,fair,no,no,yes,no,A,8.9,1.7,6.9,3401.0,Feb,40,843676
HP100461,77.8,2,1.9,17,23,2018,Suburb,studio,new,no,no,yes,yes,D,8.2,0.7,11.4,3609.0,Aug,46,595169
HP101405,117.3,4,2.6,13,26,2005,Suburb,apartment,excellent,yes,yes,no,no,D,7.5,3.0,9.6,2443.0,Oct,79,666188
HP101191,75.0,2,2.3,13,26,2017,Business Bay,townhouse,good,no,yes,no,no,C,8.0,0.5,1.7,3968.0,Nov,74,617284
HP101270,51.9,2,2.0,1,9,1972,Market,apartment,fair,yes,yes,no,no,D,6.3,4.2,3.1,1699.0,Feb,54,290414
HP101045,64.8,3,3.5,12,19,1998,Old Town,house,poor,no,yes,yes,yes,C,5.7,3.4,3.6,2816.0,Jun,82,567643
HP100970,163.0,5,4.5,22,25,1968,Suburb,apartment,poor,yes,yes,no,no,C,7.7,1.8,11.3,3365.0,Jun,23,1485778
HPDUP007,115.6,1,1.0,25,31,1999,Industrial,studio,good,no,no,no,yes,C,3.7,6.4,14.0,2164.0,Jan,74,279099
HP100167,72.2,3,2.6,24,29,1999,Airport,townhouse,fair,yes,yes,no,yes,B,5.3,3.8,12.4,1382.0,Feb,52,377898
HP101727,117.0,4,3.7,8,12,2008,Green Hills,apartment,new,yes,no,no,yes,E,9.7,0.5,6.7,4257.0,Mar,46,854001
HP101401,84.0,2,1.9,13,22,2024,Downtown,studio,fair,no,yes,no,yes,C,8.1,2.2,2.3,3080.0,Jul,52,609316
HP101027,59.3,1,1.8,19,32,1984,Old Town,apartment,new,yes,yes,no,yes,C,5.8,3.5,2.9,2711.0,Sep,29,481507
HP101645,48.8,3,2.6,14,21,2011,Business Bay,apartment,poor,yes,yes,no,yes,B,9.0,1.8,3.7,3553.0,Sep,29,571168
HP100757,172.6,4,2.9,16,19,2000,Market,apartment,good,yes,yes,yes,yes,E,6.1,2.7,3.7,2512.0,Aug,42,761902
HP101767,120.9,4,4.1,19,29,2023,Downtown,house,excellent,yes,yes,yes,yes,C,6.9,2.1,0.2,3658.0,Nov,23,927768
HP101476,69.1,2,1.9,24,25,2011,Business Bay,house,excellent,yes,no,no,yes,C,7.5,2.8,3.1,3715.0,Jun,49,644009
HP101269,47.4,1,1.4,1,11,1998,University,apartment,poor,yes,yes,yes,yes,E,6.5,4.8,6.0,2460.0,Nov,70,353490
HP101799,128.7,3,2.5,24,32,1993,Industrial,apartment,excellent,no,yes,no,yes,B,4.0,,15.6,1367.0,Jul,68,509376
HP100163,88.3,1,1.9,7,19,1985,Downtown,apartment,new,no,yes,no,yes,C,,2.2,1.0,4035.0,Mar,44,610985
HP101618,69.8,3,2.4,4,18,1965,Market,apartment,,no,no,yes,yes,C,6.5,2.1,4.6,2323.0,Dec,66,450420
HP101740,103.0,5,3.2,19,23,1971,Suburb,studio,fair,no,yes,yes,yes,C,8.1,1.5,9.6,3016.0,Nov,68,557036
HP100986,52.1,1,1.0,1,5,2025,Old Town,house,good,no,yes,yes,no,D,5.5,5.9,5.0,3246.0,Jul,73,329954
HP100649,96.1,3,2.5,7,14,2012,Downtown,house,good,no,yes,no,no,D,7.4,1.4,0.2,3599.0,Feb,38,637498
HP100689,77.7,2,2.4,3,3,1984,University,house,good,no,no,no,no,B,7.4,3.3,4.8,2499.0,Jul,43,509621
HP101353,88.8,1,1.6,19,29,2025,Old Town,apartment,good,yes,yes,no,no,B,5.5,3.2,3.4,2199.0,Oct,40,398387
HP101559,86.9,3,2.4,14,18,1996,Green Hills,house,good,yes,yes,yes,yes,E,9.2,1.1,7.5,4451.0,Sep,55,764802
HP101750,48.3,2,2.7,15,25,2015,Industrial,townhouse,new,yes,yes,no,no,D,4.3,3.9,14.0,1639.0,Mar,41,194370
HP100818,106.6,3,3.2,12,15,1972,Industrial,townhouse,excellent,no,yes,yes,yes,B,4.6,6.2,15.3,2393.0,Dec,60,482701
HP100524,88.7,2,1.7,25,32,1999,Downtown,apartment,good,no,yes,yes,yes,E,7.7,2.5,3.5,3032.0,Jun,36,554062
HP100812,106.3,4,2.0,8,10,2023,Market,house,good,no,no,yes,yes,C,4.8,6.5,2.1,2051.0,Jul,75,568787
HP101486,65.7,1,1.0,21,24,1994,Market,house,excellent,no,yes,yes,no,,5.9,4.8,3.2,1676.0,Aug,62,479080
HP100107,127.7,3,2.4,11,18,1985,Suburb,apartment,excellent,no,yes,yes,yes,E,6.5,1.6,8.9,2587.0,Sep,56,637907
HP101332,64.7,1,1.0,22,32,2011,University,apartment,poor,no,no,no,no,B,6.0,5.0,5.4,2956.0,Feb,63,382223
HP100581,116.8,4,3.9,19,26,1987,University,apartment,good,yes,yes,yes,yes,E,7.5,2.7,6.8,2064.0,Mar,43,492751
HP101139,82.9,1,1.3,12,15,1965,Riverside,apartment,good,yes,yes,yes,no,C,7.8,2.9,4.6,3046.0,Mar,47,586779
HP100754,52.8,0,1.2,24,24,1975,Riverside,apartment,fair,no,yes,no,no,D,8.5,2.2,8.4,3393.0,Nov,47,307319
HP100758,99.4,2,1.9,12,13,1994,Downtown,house,good,no,yes,yes,yes,A,8.0,0.5,1.3,3941.0,Feb,55,782083
HP101704,121.7,3,3.0,20,21,1966,Business Bay,house,fair,no,yes,yes,no,E,7.2,0.6,3.8,4160.0,Apr,72,750205
HP100282,117.8,3,2.1,13,26,1982,Suburb,house,poor,no,yes,no,yes,C,7.7,1.8,10.4,3307.0,May,55,581190
HP100156,106.2,3,1.7,20,21,1985,Suburb,house,fair,yes,yes,yes,yes,A,6.2,5.6,8.2,2432.0,Mar,53,631702
HP100191,107.4,2,1.0,9,10,2023,Suburb,house,good,yes,yes,no,yes,D,7.0,2.5,11.3,3022.0,Sep,71,547230
HP100111,60.2,2,2.2,11,12,1974,Suburb,apartment,good,no,yes,yes,yes,A,,4.6,10.9,2077.0,Oct,25,362530
HP100063,51.5,2,1.9,6,17,1995,Airport,house,good,yes,yes,no,yes,C,,7.5,12.7,2314.0,Feb,48,393124
HP100628,146.9,4,1.7,5,12,2017,University,house,excellent,no,no,no,no,D,8.7,1.1,2.3,2056.0,Jan,41,760457
HP100168,57.5,2,1.0,20,26,1999,Old Town,house,excellent,no,yes,yes,no,A,4.5,5.6,2.0,2016.0,May,41,526013
HP101014,120.9,4,2.7,9,12,1980,Old Town,apartment,good,no,no,yes,no,E,6.3,4.3,3.0,2621.0,Jan,55,516160
HP100006,76.0,1,1.0,1,9,1973,Airport,apartment,good,yes,yes,no,yes,B,4.9,4.3,9.7,1709.0,May,70,274041
HP101195,69.2,1,1.3,16,23,2019,Suburb,house,good,no,yes,yes,no,B,7.1,3.8,10.4,1808.0,Nov,80,445512
HP100016,140.7,4,3.1,11,19,2019,University,townhouse,good,yes,yes,yes,no,E,6.5,4.1,6.4,2524.0,Jul,55,650908
HP100158,51.1,1,1.0,25,36,1991,Riverside,townhouse,good,no,yes,no,no,C,6.0,1.3,5.8,3534.0,Oct,75,477170
HP100788,86.0,2,1.5,22,31,1991,Airport,apartment,excellent,no,yes,yes,yes,B,6.9,2.0,12.0,1915.0,Nov,46,503924
HP100669,99.1,3,3.8,1,9,2018,Business Bay,apartment,good,yes,yes,no,yes,C,8.8,1.0,4.0,4415.0,Dec,67,763420
HP101375,49.0,2,3.1,25,34,2017,Downtown,apartment,good,no,yes,yes,yes,B,7.0,2.4,0.2,4740.0,Feb,62,677262
HP101639,61.4,1,1.0,21,31,1982,Riverside,house,fair,no,yes,no,no,C,9.2,0.9,7.8,3993.0,Jan,5,504708
HP101133,78.3,3,2.7,2,8,1975,Riverside,studio,fair,no,yes,yes,yes,C,9.1,0.5,6.1,3898.0,Mar,42,552098
HP100831,36.3,0,1.0,12,26,1984,University,house,new,no,no,no,no,B,,0.8,6.2,2497.0,Apr,77,288872
HP101589,62.8,2,1.6,14,15,1998,Suburb,apartment,excellent,no,yes,yes,no,C,8.3,1.3,9.7,3412.0,May,35,531068
HP101362,104.5,3,1.8,1,9,2013,Industrial,apartment,excellent,no,yes,yes,no,D,4.2,4.5,15.6,2057.0,May,79,427906
HP101544,57.5,1,1.0,9,14,1983,Business Bay,house,good,no,no,yes,yes,C,9.0,1.0,1.3,4102.0,Oct,43,1310746
HP100615,64.0,1,1.2,20,22,2010,Riverside,apartment,good,no,yes,yes,yes,D,8.9,1.8,6.8,3573.0,Jan,24,563452
HP101545,116.1,2,2.1,24,37,2014,Business Bay,house,poor,no,no,yes,yes,C,8.1,2.4,2.7,4579.0,Aug,51,783567
HP100576,64.0,3,1.9,20,21,2022,Green Hills,townhouse,good,no,yes,yes,yes,C,8.4,1.4,6.5,3823.0,Apr,34,640434
HP100767,71.8,1,2.2,15,22,1989,Downtown,apartment,good,no,yes,no,yes,B,7.7,1.6,0.8,3464.0,Jul,18,619505
HP101394,63.8,2,1.2,5,11,1966,Green Hills,house,excellent,no,no,yes,no,B,8.6,0.5,6.8,3946.0,Aug,22,574828
HP101376,56.3,0,1.0,9,19,1993,Industrial,townhouse,good,no,yes,yes,yes,B,3.9,6.1,16.7,1098.0,Nov,73,295402
HP100231,120.5,4,3.0,1,5,2010,Business Bay,house,good,no,no,no,no,D,6.9,4.2,2.6,3813.0,Jan,46,700509
HP100468,63.0,1,1.9,4,5,1976,Suburb,house,excellent,no,no,yes,no,D,7.5,1.9,11.2,3026.0,Oct,55,477249
HP101395,103.6,2,1.7,10,24,2015,Suburb,apartment,good,no,yes,no,yes,C,6.1,5.5,10.5,2898.0,Jul,41,531638
HP100418,99.6,2,2.2,11,20,2007,Suburb,studio,good,yes,yes,yes,no,D,7.0,2.5,9.6,2225.0,Sep,60,469304
HP101416,165.3,4,3.4,11,18,2009,University,apartment,fair,no,yes,yes,yes,B,6.9,1.2,6.2,2602.0,Sep,54,758783
HP100618,57.4,0,1.5,23,30,2020,Suburb,apartment,fair,no,yes,no,no,E,7.5,2.4,8.2,1853.0,Dec,24,381681
HP100560,31.7,0,1.0,18,24,2024,Downtown,townhouse,good,no,yes,yes,no,D,6.7,3.3,0.5,4142.0,Jun,57,511404
HP100014,155.0,4,3.2,1,10,2018,Business Bay,townhouse,excellent,no,no,yes,yes,C,8.8,1.3,2.2,4719.0,Mar,6,973520
HP101052,109.3,2,1.1,13,14,1984,Suburb,townhouse,good,no,yes,yes,no,B,6.7,2.1,10.7,2112.0,May,46,591958
HP100502,75.8,2,1.7,4,10,1977,Market,house,good,no,yes,no,yes,B,6.2,4.9,2.6,2483.0,Feb,81,442061
HP101214,80.7,2,1.2,1,1,1968,Suburb,apartment,good,no,yes,yes,yes,C,7.6,2.3,9.6,2463.0,Jan,34,466058
HP101605,49.9,0,2.0,13,19,1976,Suburb,townhouse,good,yes,yes,yes,no,C,6.6,3.9,10.0,3148.0,Mar,53,401395
HP100976,64.8,2,2.3,4,10,1979,Business Bay,house,fair,no,yes,yes,yes,B,7.9,2.7,2.8,4283.0,Nov,49,714507
HP100112,136.5,4,2.6,19,19,2008,Old Town,studio,excellent,no,no,no,yes,B,5.3,5.8,3.2,2413.0,Jul,79,587519
HP101303,50.7,1,1.5,18,19,2005,Suburb,townhouse,good,no,yes,yes,no,D,7.0,2.1,10.4,3109.0,Jun,32,411634
HP100292,82.5,2,1.0,3,17,1990,Market,house,good,no,yes,yes,no,B,6.2,4.0,1.9,2364.0,Jan,76,523101
HP100704,158.7,4,3.2,25,33,2017,Suburb,apartment,good,no,no,yes,yes,D,6.7,5.3,8.6,3351.0,Dec,76,693312
HP100619,67.9,1,1.0,7,16,1991,Downtown,studio,excellent,no,yes,no,yes,D,6.4,3.4,1.1,4280.0,Aug,52,469147
HP100143,85.8,3,1.9,8,10,1998,University,apartment,excellent,no,yes,no,no,B,7.0,4.5,4.1,2503.0,Aug,77,512249
HP101741,53.4,1,1.8,5,16,1985,Suburb,house,good,no,yes,yes,no,E,7.0,3.0,8.4,3363.0,Oct,33,451199
HPDUP017,75.8,3,2.7,8,10,2002,University,house,good,yes,yes,no,yes,B,6.0,3.9,5.5,2551.0,Jan,54,524312
HP101104,56.2,1,1.0,3,14,2012,Suburb,apartment,good,yes,yes,no,yes,B,6.5,4.8,11.7,2900.0,Jan,94,365362
HP100342,73.3,2,1.5,4,18,1997,Airport,townhouse,good,no,yes,no,yes,C,4.8,4.6,13.4,931.0,Jul,22,430707
HP100923,59.4,1,2.2,20,34,1975,University,apartment,new,no,yes,no,no,,7.8,1.2,8.4,1918.0,Mar,26,535491
HP101312,139.5,3,3.6,19,32,2018,University,house,excellent,yes,yes,yes,yes,B,6.5,1.8,5.9,3025.0,Jul,67,893186
HP100202,101.8,3,2.0,20,30,1986,University,studio,good,yes,yes,yes,no,A,6.5,2.7,4.8,2788.0,Jun,74,576754
HP100211,108.9,3,2.3,15,22,2025,University,apartment,excellent,no,yes,yes,yes,A,7.3,2.4,4.5,2970.0,May,66,733739
HP101070,103.8,4,4.3,15,18,2018,Green Hills,house,good,no,yes,yes,no,D,9.3,0.5,7.0,3785.0,Jul,28,767057
HP101203,90.8,2,2.2,16,28,2012,Riverside,townhouse,poor,no,yes,yes,no,B,7.9,4.4,6.7,2855.0,May,76,581868
HP100973,75.8,1,1.0,6,12,1998,Green Hills,apartment,new,no,no,no,yes,E,8.3,3.7,9.4,3785.0,Sep,55,569965
HP101450,73.3,3,2.6,16,30,2022,Airport,studio,new,no,yes,no,no,B,3.8,8.1,11.5,2554.0,Jul,93,376880
HP100718,136.6,3,3.3,25,26,1986,Industrial,house,excellent,no,yes,no,yes,D,4.8,6.3,14.2,1150.0,Nov,47,533485
HP100003,109.9,3,1.7,8,21,2019,Riverside,house,fair,yes,yes,no,yes,C,8.8,2.7,6.4,2873.0,Nov,83,719123
HP100119,52.4,1,2.0,19,29,1972,Industrial,studio,fair,no,yes,no,yes,C,4.3,6.9,14.6,1687.0,Mar,66,85888
HP100917,98.9,4,3.3,22,31,1980,Suburb,studio,excellent,yes,yes,yes,yes,D,8.2,1.8,9.9,2379.0,Oct,64,689083
HP101743,93.8,2,1.2,10,10,1975,Market,apartment,good,no,yes,yes,yes,A,6.5,3.3,4.3,2487.0,Nov,41,558966
HP101764,48.0,2,1.6,14,28,2013,Suburb,studio,good,yes,yes,yes,yes,A,7.2,2.0,10.4,2435.0,Mar,50,438729
HP101064,74.9,1,1.4,14,16,2006,Old Town,apartment,excellent,yes,yes,no,no,D,,4.3,1.4,2574.0,Aug,78,442179
HP101594,79.7,2,1.1,3,14,1990,Green Hills,townhouse,excellent,no,yes,no,yes,D,9.5,1.8,9.6,4197.0,Sep,44,598506
HP101730,260.0,6,4.4,16,27,2023,Market,apartment,new,no,no,yes,no,C,6.0,2.7,5.4,2348.0,Feb,78,1069344
HP101129,62.3,3,2.3,5,17,1966,Market,house,good,yes,yes,yes,yes,C,6.1,4.9,4.8,2215.0,Aug,80,460325
HP101041,102.1,3,1.5,13,18,1980,Industrial,apartment,fair,yes,yes,yes,yes,C,4.1,6.6,14.5,2083.0,Nov,78,343041
HP100074,84.0,3,2.2,10,14,2013,Downtown,studio,good,no,no,yes,yes,C,7.7,1.3,0.6,3166.0,Feb,69,594952
HP100977,59.2,1,1.3,11,13,2010,Business Bay,house,good,no,yes,no,yes,C,8.0,2.2,2.3,3728.0,Mar,78,699132
HP101319,64.8,1,1.8,6,18,2012,Green Hills,apartment,new,yes,yes,no,no,B,9.2,0.5,6.5,4226.0,Oct,26,767822
HP100086,50.5,0,1.0,7,16,1966,Riverside,apartment,good,no,yes,yes,no,C,8.3,,6.6,3802.0,Sep,45,421730
HP100174,112.5,2,3.0,3,9,2008,Suburb,apartment,good,no,yes,yes,no,C,6.0,4.1,11.6,2535.0,Jun,52,563094
HP101035,66.2,1,1.1,22,25,1982,Industrial,house,good,no,yes,yes,yes,C,3.3,5.4,14.9,,Jul,51,258823
HP101651,56.4,0,1.0,21,30,2002,Suburb,house,excellent,no,no,no,yes,E,8.2,2.4,10.4,3239.0,Oct,51,460857
HP100847,68.3,1,1.0,23,30,1968,Riverside,townhouse,good,no,yes,yes,yes,B,8.8,0.5,6.7,3310.0,May,61,593398
HP100182,57.2,2,1.9,1,5,1978,University,townhouse,good,no,no,no,no,C,6.9,2.9,6.1,2051.0,Feb,81,392465
HP100124,47.4,1,1.9,12,14,1989,Downtown,apartment,good,no,yes,no,no,C,8.0,1.8,3.9,3790.0,Jan,45,447103
HP100880,87.8,3,3.8,17,31,1976,Business Bay,townhouse,fair,yes,yes,yes,no,B,7.7,3.8,3.5,4897.0,Sep,42,710196
HP100904,132.9,4,4.1,16,29,1968,Market,house,fair,yes,yes,yes,no,D,5.6,5.6,4.8,2086.0,May,55,644612
HP100958,66.2,1,2.5,12,17,1989,University,house,good,no,yes,yes,no,C,6.5,,5.9,2365.0,Sep,58,453809
HP101249,98.5,3,2.5,23,29,2017,Market,apartment,good,no,yes,yes,no,D,6.5,1.5,4.0,2017.0,Jun,35,536868
HP101051,91.7,1,1.0,5,18,1987,Suburb,apartment,good,yes,yes,yes,no,B,7.1,1.6,11.1,2212.0,May,82,556829
HP100253,113.9,3,2.9,20,25,1990,Suburb,townhouse,excellent,no,yes,yes,yes,C,8.0,1.5,10.8,,Dec,67,747715
HPDUP013,99.5,3,2.5,22,23,1980,Old Town,apartment,excellent,yes,yes,yes,yes,A,5.5,5.5,3.4,1698.0,Jan,37,548412
HP101032,90.2,3,2.8,25,38,2009,University,house,good,yes,yes,no,no,,7.6,2.3,4.7,2622.0,May,64,649912
HP100657,64.5,1,1.9,4,14,1968,Old Town,apartment,good,,yes,yes,yes,B,5.6,4.9,2.5,2060.0,Feb,13,311420
HP101441,38.2,0,1.1,10,22,1986,Downtown,house,good,yes,yes,no,yes,A,6.0,3.7,1.7,3776.0,Feb,45,427154
HP101430,144.9,3,2.3,23,31,1970,Market,apartment,excellent,no,yes,no,yes,A,6.3,3.7,1.6,2639.0,Jan,80,662121
HP101127,85.0,2,2.8,12,12,1971,Riverside,house,new,no,no,no,yes,C,7.6,1.9,6.7,3158.0,Feb,71,662730
HP101316,56.6,1,1.0,2,10,1975,University,apartment,excellent,yes,yes,yes,yes,B,7.7,2.9,5.0,2493.0,Dec,39,494910
HP100865,96.4,3,2.7,17,26,1971,Green Hills,townhouse,new,no,yes,no,no,B,8.5,3.0,7.3,3421.0,Nov,43,741284
HP101304,71.6,2,2.1,8,15,1998,Green Hills,house,excellent,yes,yes,yes,yes,C,9.0,0.6,7.7,3964.0,May,52,780698
HP100509,59.3,2,1.9,11,23,1966,Downtown,studio,fair,no,no,no,yes,D,8.4,,0.5,3053.0,Mar,47,415373
HP101477,66.2,1,1.1,11,15,2004,Market,house,good,no,yes,no,no,D,7.5,1.7,1.7,1911.0,Oct,76,415869
HP100433,84.3,2,2.2,6,11,1966,Green Hills,studio,good,yes,yes,yes,yes,C,9.9,0.5,5.7,3728.0,Feb,40,617303
HP100336,51.2,2,2.4,14,19,2021,Downtown,apartment,excellent,no,yes,yes,yes,B,7.5,2.1,0.2,4022.0,Mar,7,589216
HP100057,83.3,1,1.0,23,25,2024,University,apartment,good,no,yes,no,no,C,6.6,2.6,4.3,3326.0,Sep,32,467397
HP101256,75.2,3,2.6,16,28,2004,Airport,house,good,yes,yes,yes,yes,C,4.0,5.5,14.0,1941.0,May,78,434627
HP100416,97.9,3,1.7,5,15,1978,Suburb,apartment,excellent,no,yes,yes,yes,D,,3.7,10.6,2965.0,Jun,45,479646
HP101457,30.2,1,1.0,3,9,2001,Business Bay,apartment,new,no,yes,no,yes,B,6.9,1.7,3.9,3729.0,Sep,94,491907
HP100967,93.4,1,1.0,24,32,1974,Suburb,house,fair,yes,yes,no,yes,,6.4,1.4,11.7,2552.0,May,35,474671
HP100655,107.8,3,2.2,14,21,1993,Old Town,house,fair,no,yes,yes,yes,C,6.7,4.0,2.9,1853.0,May,48,558358
HP101178,81.8,2,2.3,6,9,1995,Suburb,house,good,no,yes,no,yes,B,8.5,2.0,9.6,3126.0,Apr,76,614416
HP100717,146.2,4,3.5,7,11,1982,Downtown,apartment,good,no,yes,yes,yes,A,6.4,4.3,1.2,4327.0,Jul,41,782726
HP101234,119.0,3,2.7,19,27,2004,Suburb,studio,new,no,no,yes,yes,C,8.1,3.4,11.1,3086.0,Jun,62,676569
HP100522,65.8,2,1.7,7,11,1997,Suburb,apartment,fair,no,yes,yes,yes,C,6.8,3.5,11.7,2420.0,Dec,52,361038
HP101464,107.0,3,1.5,5,9,1989,Industrial,apartment,good,no,yes,no,no,D,4.2,6.1,15.2,1710.0,Oct,113,291566
HP100746,71.7,2,1.3,12,20,1979,Old Town,studio,good,yes,yes,no,yes,C,4.4,4.4,2.2,1212.0,Sep,84,347253
HP101751,40.0,0,1.1,6,12,2007,Suburb,house,excellent,no,no,yes,yes,B,7.9,1.5,10.5,3329.0,Aug,52,445878
HP101291,68.0,2,1.0,19,23,1984,Industrial,studio,good,no,yes,yes,no,B,4.4,6.3,14.6,2479.0,May,42,233051
HP101595,78.3,1,1.0,3,7,1967,Riverside,studio,new,no,yes,no,yes,D,8.0,2.1,6.8,3206.0,Nov,58,520852
HP100738,63.4,1,1.0,20,22,2025,Business Bay,apartment,fair,no,yes,no,yes,D,7.2,2.1,3.0,3795.0,Apr,53,539069
HP100854,47.4,2,1.9,17,18,1967,Suburb,apartment,good,no,yes,yes,no,D,8.8,2.2,9.9,2794.0,Jun,27,377098
HP101050,26.6,2,1.9,8,11,2012,Industrial,apartment,fair,,yes,no,yes,B,3.1,6.9,17.0,1266.0,Feb,75,98837
HP100261,102.0,2,1.0,23,34,1980,Green Hills,apartment,fair,no,yes,yes,no,D,7.9,0.5,6.9,4641.0,Oct,71,599480
HP100018,102.4,3,2.3,3,8,2024,Green Hills,house,good,no,yes,no,no,E,10.0,1.4,8.0,3846.0,Oct,43,682146
